2008 BASELINE CORRECTIONS IN METERS
ANT
MOVED  OBSDATE   Put_In_ MC(IAT)  ANT  PAD    Bx      By      Bz
JAN25  FEB01     FEB01   23:40     1   W10 -0.0047 -0.0092 -0.0092
FEB11  FEB16     FEB20   16:52     3   E14 -0.0015 -0.0097  0.0054
JAN16  FEB16     FEB20   16:52     4   MPD  0.0161 -0.0025  0.0070
FEB06  FEB16     FEB20   16:52    11   E10 -0.0095  0.0021 -0.0085
FEB06  FEB16     FEB20   16:52    16   W6   0.0255  0.0173 -0.0141
FEB06  FEB16     FEB20   16:52    17   W14 -0.0056 -0.0171  0.0001
FEB06  FEB16     FEB20   16:52    21   E2   0.0058  0.0128 -0.0074
FEB11  FEB16     FEB20   16:52    22   W2  -0.0065  0.0210 -0.0105
FEB07  FEB16     FEB20   16:52    23   E18 -0.0106 -0.0027 -0.0013
FEB11  FEB16     FEB20   16:52    28   E6   0.0101  0.0045  0.0020
MAR03  MAR08     MAR11   12:50     2   E4   0.0030  0.0150  0.0200
MAR03  MAR08     MAR11   12:50     7   N18  0.0000  0.0157  0.0008
       MAR08     MAR11   12:50    13   N16  0.0042 -0.0005  0.0020
MAR03  MAR08     MAR11   12:50    15   N1  -0.0065 -0.0045 -0.0265
MAR03  MAR08     MAR11   12:50    25   N2   0.0120 -0.0120  0.0024
MAR03  MAR08     MAR11   12:50    26   N6  -0.0014  0.0119  0.0000
MAR03  MAR08     MAR11   12:50    27   N14 -0.0066 -0.0100  0.0080
MAR11  MAR19     MAR20   23:58     4   W18  0.0066 -0.0122  0.0057 
MAR18  APR17     APR17   14:27     5   MPD -0.0060 -0.0100  0.0016
APR28  APR29     APR30   16:57     5   E4   0.0061 -0.0099  0.0020
MAY27  JUN07     JUN09   17:05     1   W1  -0.0027  0.0066 -0.0178
MAY28  JUN07     JUN09   17:05     4   W9   0.0087 -0.0102  0.0060
MAY28  JUN07     JUN09   17:05     8   W7  -0.0075 -0.0160  0.0238
MAY27  JUN07     JUN09   17:05    11   E3  -0.0267  0.0024  0.0050
MAY28  JUN07     JUN09   17:05    14   E7   0.0079 -0.0065  0.0028
MAY27  JUN07     JUN09   17:05    15   E1  -0.0097 -0.0028 -0.0265
MAY27  JUN07     JUN09   17:05    17   W5   0.0004 -0.0030 -0.0020
MAY27  JUN07     JUN09   17:05    20   N10  0.0107 -0.0068 -0.0071
MAY28  JUN07     JUN09   17:05    23   E9  -0.0101 -0.0058 -0.0028
MAY28  JUN07     JUN09   17:05    24   W3   0.0007 -0.0002  0.0018
MAY15  JUN28     JUN30   21:01     2   MPD -0.0087  0.0049  0.0047
JUN23  JUN28     JUN30   21:01     7   N09  0.0023  0.0034  0.0030
JUN23  JUN28     JUN30   21:01    13   N07 -0.0015  0.0000 -0.0006
JUN23  JUN28     JUN30   21:01    18   N03  0.0058  0.0051 -0.0108
JUN23  JUN28     JUN30   21:01    20   N01  0.0080  0.0043  0.0265
JUN24  JUN28     JUN30   21:01    27   N05 -0.0156  0.0044  0.0006
JUL08  AUG27     AUG27   19:19     2   E5  -0.0048  0.0046  0.0087
JUL09  AUG27     AUG27   19:19     3   MPD  0.0081 -0.0021 -0.0084
SEP24  SEP30     OCT01   16:54     1   W16 -0.0015  0.0113 -0.0142
SEP22  SEP30     OCT01   16:54     2   E56  0.0027  0.0132  0.0064
SEP11  SEP30     OCT01   16:54     3   E16 -0.0023 -0.0055  0.0055
SEP17  SEP30     OCT01   16:54     4   W64 -0.0033 -0.0129 -0.0076
SEP23  SEP30     OCT01   16:54     5   E48  0.0040 -0.0066 -0.0009
SEP17  SEP30     OCT01   16:54     7   N72  0.0023  0.0012  0.0047
SEP22  SEP30     OCT01   16:54     8   W24 -0.0007 -0.0181  0.0245
       SEP30     OCT01   16:54    10   E8   0.0013  0.0000  0.0004
SEP24  SEP30     OCT01   16:54    11   E40 -0.0061  0.0110  0.0156
SEP25  SEP30     OCT01   16:54    12   N40 -0.0052  0.0057  0.0129
SEP18  SEP30     OCT01   16:54    13   N64  0.0081  0.0026 -0.0074
SEP16  SEP30     OCT01   16:54    14   E64  0.0207 -0.0000  0.0027
SEP24  SEP30     OCT01   16:54    15   E24 -0.0062 -0.0064 -0.0087
       SEP30     OCT01   16:54    16   W6   0.0013  0.0008  0.0002
SEP22  SEP30     OCT01   16:54    17   W48 -0.0064 -0.0265 -0.0068
SEP25  SEP30     OCT01   16:54    18   N16 -0.0092 -0.0055 -0.0082
SEP24  SEP30     OCT01   16:54    19   W40  0.0075  0.0134  0.0010
SEP23  SEP30     OCT01   16:54    20   N32  0.0249 -0.0053  0.0067
SEP23  SEP30     OCT01   16:54    21   E32  0.0237  0.0065 -0.0068
SEP15  SEP30     OCT01   16:54    22   W72 -0.0085  0.0043 -0.0060
SEP15  SEP30     OCT01   16:54    23   E72  0.0043 -0.0005  0.0028
SEP25  SEP30     OCT01   16:54    24   W32  0.0050  0.0000  0.0011
SEP16  SEP30     OCT01   16:54    25   N24  0.0017 -0.0008  0.0037
SEP23  SEP30     OCT01   16:54    26   N48 -0.0063 -0.0016 -0.0079
SEP18  SEP30     OCT01   16:54    27   N56  0.0055  0.0015  0.0056
